ETIQUETA	CATEGORIAS	SITIO	DUREZA	AREAF	AFE	RENDIMIENTO	safrol	b-cariofileno	D-germacreno	b-elemeno	bicilogermacreno	miristicina	a-copaeno	TR-45.65	espatulenol	TR-40.5	a-humuleno	TR-45.01	TR-46.29	oxido de cariofileno	TR-60.15	TR-45.58	TR-44.97	TR-49.22	TR-44.83	b-pineno	TR-56.62	g-Terpineno	TR-46.22	a-pineno	TR-55.85	TR-50.77	d-carene	TR-56.2
HUM5	HUM	MEDICINAL	HUERTO	3.22975	78.14333333	438.5416423	0.2704	21.847	10.454	8.963	2.755	4.164	4.151	1.59	2.14	3.745	2.149	1.4	1.849	1.936	1.886	5.637	1.347	0.556	2.316	0.498	0	6.118	0	0.553	0	0.742	0.581	0	1.834
HUM6	HUM	MEDICINAL	HUERTO	8.474425	87.98	433.837644	1.2853	44.647	13.51	6.132	2.35	1.684	2.632	2.779	1.171	4.535	1.417	1.519	0.152	1.141	1.213	1.108	0.353	0.868	2.983	1.271	0	0.25	0	0.213	0	2.126	0.115	0	0.661
HUM7	HUM	MEDICINAL	HUERTO	11.328575	59.42	363.6597733	0.1182	1.129	0.627	0.859	0.703	0.349	6.067	0	0.821	5.803	0	0.394	0	0	2.09	3.122	2.583	20.26	4.03	0	0	18.183	0	1.148	0	9.82	1.08	0	10.682
HUM8	HUM	MEDICINAL	HUERTO	8.355275	104.2433333	442.942233	0.1546	56.719	5.801	1.211	1.478	0	4.903	0	0	3.361	0.866	0.849	0.027	0.918	1.799	3.323	0.7	0.886	1.192	4.447	0	0.738	0	0.186	0	3.368	0	0	1.269
HUM9	HUM	MEDICINAL	HUERTO	10.06194167	80.51666667	381.600467	0.0781	26.894	14.832	10.94	3.722	2.448	4.166	2.189	0.994	1.974	3.093	1.881	2.591	1.821	1.092	2.61	0.395	0.691	1.475	0.764	0	0.65	0	0.574	0	0.504	0.161	0	0.406
HUM10	HUM	MEDICINAL	HUERTO	5.40376	135.0533333	401.9260305	0.1348	22.045	6.468	5.48	2.843	2.245	0	0.549	1.983	2.946	2.137	1.073	9.074	1.444	1.19	2.861	0.505	0	3.243	0.378	0	3.059	0	12.004	0	3.176	0.435	0	0
HUM11	HUM	MEDICINAL	HUERTO	10.1357	112.415	574.2232237	0.2263	22.938	13.654	5.755	2.596	2.686	3.026	1.639	1.608	4.353	2.167	1.734	0	1.514	2.225	0.249	1.204	4.322	3.267	0.588	0	7.307	0	0.59	0	0.696	0.468	0	0
HUM12	HUM	MEDICINAL	HUERTO	9.1556	122.6533333	334.260868	0.2502	15.728	13.59	12.112	3.599	3.436	0	3.096	1.043	4.587	2.633	1.875	2.038	2.067	1.965	5.195	1.043	1.772	1.269	0.926	0.044	0.594	0	6.236	0	0.168	0.3	0	0.236
HUM13	HUM	MEDICINAL	HUERTO	13.04842	82.65333333	434.5546527	0.3302	67.49	9.864	4.676	1.657	1.777	1.903	0	0.631	0.401	1.519	0.976	0.376	0.198	0.339	0.518	0.551	0.625	0.45	1.168	0.347	0.151	0	0.013	0	0.625	0	0.09	0.069
HUM14	HUM	MEDICINAL	HUERTO	7.45565	120.6283333	458.6112014	0.2362	18.997	9.049	3.787	2.171	0	8.294	0	0.832	9.343	0.448	1.579	0.162	1.837	4.188	4.556	1.856	1.778	4.708	4.74	0	1.845	0	1.14	0	3.214	0.645	0	2.068
HUM15	HUM	MEDICINAL	HUERTO	9.006731905	92.474	411.7453306	0.2535	60.004	7.517	5.434	2.036	2.181	2.144	0	1.159	2.18	1.187	0.934	0.747	0.722	0.929	0.255	0.793	1.68	1.254	0.467	0	0.873	0.282	0.309	0.068	0.705	0.164	0	1.956
RUM1	RUM	MEDICINAL	RUDERAL	6.9183	130.9366667	540.2004946	0.5382	59.677	8.349	4.665	1.491	2.129	2.215	0	1.007	1.23	1.932	0.997	0.043	0.513	0.565	2.845	0	1.255	1.501	3.324	0	0.73	0	0.169	0	3.827	0	0	0.385
RUM2	RUM	MEDICINAL	RUDERAL	7.2189	80.73333333	328.9792249	0.0793	46.877	5.081	2.188	1.168	0.569	2.241	0	0.78	2.671	0.734	0.903	0.463	0.351	1.213	1.239	0	12.774	1.399	0.209	0	1.62	0	0.215	0	1.727	0.194	0	5.08
RUM3	RUM	MEDICINAL	RUDERAL	3.4953	90.18	313.5930436	0.5898	70.878	5.813	4.406	1.945	1.815	1.687	0	0.787	1.658	0.894	0.745	0	0.554	0.981	0.606	0.21	0.116	0.554	0.36	1.143	0.087	0.541	0.163	0.342	0	0.095	0.101	0
RUM4	RUM	MEDICINAL	RUDERAL	4.6382	142.9233333	358.3266582	0.2079	33.88	15.575	7.276	3.404	3.359	3.231	0	1.844	3.63	0.073	1.886	0.073	1.505	2.216	0.446	0.9	1.171	2.63	1.903	0	0.989	0	0.5	0	0.784	0.709	0	3.853
RUM5	RUM	MEDICINAL	RUDERAL	6.0825	54.93333333	315.2880931	0.2491	49.423	10.448	9.386	2.123	3.398	3.436	2.393	1.176	1.813	1.763	1.243	0.458	0.907	0.456	2.728	0.854	0.746	0.442	0.633	0	0.858	0.098	0.137	0	0.507	0	0	0.347
RUM6	RUM	MEDICINAL	RUDERAL	5.6063	204.2033333	482.08506	0.6655	40.176	8.612	10.907	2.49	3.688	3.506	0	2.222	4.659	1.895	1.299	0.962	1.206	1.191	1.292	0.942	1.216	1.107	4.948	0	0.423	0	0.537	0	0.487	0.541	0	0.298
RUM7	RUM	MEDICINAL	RUDERAL	4.061	101.1933333	280.5924261	1.3726	73.88	4.195	2.801	1.34	0	2.313	0	0.648	0.709	0.983	0.524	0.157	0.471	0.471	0.371	0.329	3.308	0.443	0.159	0.277	0.065	0.68	0.153	0.044	0.852	0.852	0.148	0.181
RUM8	RUM	MEDICINAL	RUDERAL	2.9916	115.0733333	491.5275714	0.2591	12.817	12.323	12.984	3.176	5.715	4.411	2.001	3.128	0.202	2.591	1.778	1.249	2.546	1.522	7.198	1.859	2.651	1.738	1.992	0	3.431	0	0.518	0	0.764	0.764	0	1.05
RUM9	RUM	MEDICINAL	RUDERAL	4.9387	46.26333333	293.2303509	0.0531	53.092	6.345	0	1.645	1.338	4.573	0	0.911	1.734	0	0.815	0	0.765	0.766	1.326	0.062	7.772	1.946	0.244	0	0.691	0	0.311	0	1.694	0.148	0	1.355
RUM10	RUM	MEDICINAL	RUDERAL	8.705	105.1566667	285.8428223	0.2577	43.458	5.596	2.587	1.331	0.408	4.526	0	1.028	3.525	0.626	0.855	0	0.043	1.335	0.842	0.35	14.228	1.79	0.238	0	1.003	0	4.526	0	2.046	0.188	0	0
RUM11	RUM	MEDICINAL	RUDERAL	22.4625	103.4266667	409.7952668	0.4563	51.341	5.708	2.455	1.923	0.344	3.935	0	0.344	4.229	0.663	0.816	0.01	0.631	1.34	1.603	0.841	0.733	1.9	3.591	0	0.323	0	0.199	0.346	5.577	0	0	1.352
RUM12	RUM	MEDICINAL	RUDERAL	8.705	105.81	354.7104783	0.2025	41.26	6.26	8.525	1.988	2.105	3.145	2.087	1.776	5.206	1.227	1.011	0	0.929	0.827	4.633	0.664	5.533	1.509	0.453	0	0.136	0	0.327	0	1.602	0.588	0	0.483
RUM13	RUM	MEDICINAL	RUDERAL	22.4625	89.47833333	283.1465337	0.2025	56.588	9.858	6.206	2.714	0	1.633	0	2.74	1.545	1.805	1.216	0.056	0.717	0.495	0.692	1.312	0.869	0	3.442	0.33	0.357	1.051	0.159	0	0.841	0	0.163	0
RUC1	RUC	CULINARIO	RUDERAL	7.4592	555.0933333	286.3704599	2.4832	53.776	9.903	7.327	1.958	2.742	1.897	2.425	1.419	0.858	1.6	1.165	0	0.86	0.586	3.124	0.726	1.109	0.488	0.906	0.424	0.073	0.673	0.146	0.163	0.247	0.02	0.144	0.14
